Datum_zreb;Tyzden;SumaVklady;SumaVyhry;SumaJackpot;Cislo1;Cislo2;Cislo3;Cislo4;Cislo5;Cislo6;Cislo7;Pocet1;Vyhra1;Pocet2;Vyhra2;Pocet3;Vyhra3;Pocet4;Vyhra4;Pocet5;Vyhra5;Pocet6;Vyhra6;Pocet7;Vyhra7;Pocet8;Vyhra8;Pocet9;Vyhra9;Pocet10;Vyhra10;Pocet11;Vyhra11;Pocet12;Vyhra12;Datum_zreb_nasl
9.10.2015;41;528304,00000;10264152,00000;10000000,00000;26;23;14;31;13;3;9;0;31579233,10000;0;1295619,70000;0;114319,30000;2;4483,10000;16;256,80000;15;115,50000;32;52,40000;425;17,60000;454;17,00000;728;14,20000;2270;8,90000;6943;7,40000;16.10.2015
16.10.2015;42;523214,00000;14261607,00000;14000000,00000;38;11;19;42;46;3;9;0;0,00000;0;1018326,30000;0;119803,10000;0;2549,00000;10;233,80000;24;102,30000;27;54,70000;404;20,50000;457;19,10000;750;15,30000;2016;9,40000;6623;8,40000;23.10.2015
23.10.2015;43;496506,00000;18248253,00000;18000000,00000;16;36;34;49;18;8;6;0;0,00000;0;345488,00000;0;91452,70000;1;5806,50000;7;224,80000;13;112,10000;19;59,70000;277;22,20000;321;18,00000;558;16,10000;1393;10,60000;5054;8,00000;30.10.2015
30.10.2015;44;519164,00000;24259582,00000;24000000,00000;5;15;16;37;36;5;3;0;0,00000;0;1116663,90000;0;78823,30000;0;3368,50000;5;244,70000;9;126,80000;28;48,00000;472;17,00000;396;17,00000;590;17,00000;2279;7,70000;6936;7,20000;6.11.2015
6.11.2015;45;536580,00000;32268290,00000;32000000,00000;22;24;4;2;8;3;9;0;0,00000;0;201592,50000;1;26681,30000;0;3234,10000;17;174,00000;38;57,00000;41;46,20000;437;18,40000;625;15,70000;1117;11,10000;2293;9,20000;7412;7,60000;13.11.2015
13.11.2015;46;604070,00000;10302035,00000;10000000,00000;23;49;27;19;26;10;3;0;32657956,90000;1;1406004,20000;0;99247,30000;1;6892,10000;12;278,70000;17;120,20000;22;76,40000;379;27,70000;469;18,40000;792;13,90000;2015;13,10000;7675;7,90000;20.11.2015
20.11.2015;47;513554,00000;14256777,00000;14000000,00000;1;36;31;18;20;5;9;0;0,00000;0;1016924,70000;0;71782,90000;0;6646,50000;9;367,40000;17;144,10000;19;80,00000;324;25,40000;374;22,40000;736;17,30000;1770;11,60000;5884;9,10000;27.11.2015
27.11.2015;48;511528,00000;18255764,00000;18000000,00000;2;26;49;13;7;3;4;0;0,00000;0;513350,80000;0;60394,20000;0;3660,20000;23;151,80000;30;79,60000;22;52,10000;416;19,40000;662;12,70000;922;12,70000;1987;9,90000;8663;6,20000;4.12.2015
4.12.2015;49;512142,00000;24256071,00000;24000000,00000;16;34;14;26;38;8;2;0;0,00000;0;220909,00000;0;97459,80000;0;2165,70000;7;168,00000;11;81,70000;21;38,60000;307;16,00000;336;16,00000;622;13,70000;1853;7,70000;5292;7,70000;11.12.2015
11.12.2015;50;515542,00000;31257771,00000;31000000,00000;36;37;49;39;34;10;8;0;0,00000;0;1191136,20000;0;105100,20000;0;12739,40000;8;286,60000;7;126,20000;21;85,10000;211;32,70000;319;22,30000;550;16,50000;1285;15,50000;4754;9,60000;18.12.2015
18.12.2015;51;525454,00000;40262727,00000;40000000,00000;11;27;19;32;42;9;5;0;0,00000;0;451426,80000;0;79663,50000;0;2747,00000;11;185,00000;18;88,20000;39;51,30000;419;20,70000;589;16,10000;952;13,20000;2021;10,50000;6879;7,70000;25.12.2015
25.12.2015;52;373838,00000;48186919,00000;48000000,00000;8;36;33;34;9;9;3;0;0,00000;0;481507,40000;0;169943,70000;0;4855,50000;4;291,30000;8;123,40000;19;54,60000;481;17,70000;247;17,70000;437;16,60000;2172;8,00000;4501;7,60000;1.1.2016
1.1.2016;53;465332,00000;10232666,00000;10000000,00000;14;35;45;11;44;5;6;0;49685851,50000;0;423474,30000;0;298923,00000;0;4529,10000;6;290,20000;6;137,80000;25;61,40000;348;21,30000;395;19,70000;623;17,00000;1784;10,00000;5495;8,00000;8.1.2016
8.1.2016;1;429284,00000;14214642,00000;14000000,00000;47;1;2;24;5;8;3;0;0,00000;0;514927,70000;0;181739,20000;0;4487,30000;6;260,20000;14;119,70000;33;45,10000;515;16,50000;384;16,50000;725;14,60000;2908;7,50000;5482;7,50000;15.1.2016
15.1.2016;2;466306,00000;19233153,00000;19000000,00000;23;25;4;39;37;9;1;0;0,00000;0;1080486,70000;0;47668,50000;0;5526,70000;5;242,30000;10;81,00000;30;75,50000;291;27,20000;340;19,30000;707;12,90000;1540;12,90000;5191;8,80000;22.1.2016
22.1.2016;3;468932,00000;10234466,00000;10000000,00000;19;3;26;36;29;4;9;0;19379323,30000;0;1134075,70000;0;400262,00000;1;5336,80000;14;265,60000;26;108,20000;31;59,80000;399;21,60000;584;17,50000;930;13,70000;1953;10,70000;6688;7,80000;29.1.2016
29.1.2016;4;442268,00000;14221134,00000;14000000,00000;42;40;3;32;20;4;9;0;0,00000;0;0,00000;0;122354,20000;0;6117,70000;3;292,00000;15;134,20000;21;80,50000;289;25,30000;245;22,90000;452;17,80000;1727;11,10000;4282;9,40000;5.2.2016
