Datum_zreb;Tyzden;SumaVklady;SumaVyhry;Cislo1;Cislo2;Cislo3;Cislo4;Cislo5;Cislo6;Pocet1;Pocet2;Pocet3;Pocet4;Pocet5;Pocet6;Vyhra1;Datum_zreb_nasl
9.10.2015;41;94144,00000;47072,00000;6;2;1;4;9;1;0;0;5;81;860;8541;0,00000;16.10.2015
16.10.2015;42;96830,00000;98415,00000;5;0;4;4;6;5;0;0;5;84;886;8743;0,00000;23.10.2015
23.10.2015;43;88612,00000;94306,00000;9;5;1;3;5;9;0;2;7;100;828;7830;0,00000;30.10.2015
30.10.2015;44;94327,00000;97163,50000;8;0;7;1;3;7;0;1;6;83;902;8501;0,00000;6.11.2015
6.11.2015;45;93157,00000;96578,50000;1;5;1;5;9;8;0;2;9;75;867;8442;0,00000;13.11.2015
13.11.2015;46;103029,00000;101514,50000;7;6;3;3;0;5;0;0;16;78;912;9366;0,00000;20.11.2015
20.11.2015;47;87604,00000;93802,00000;4;2;6;4;3;4;0;0;9;63;773;7805;0,00000;27.11.2015
27.11.2015;48;86257,00000;93128,50000;3;1;1;7;7;8;0;1;12;67;831;7801;0,00000;4.12.2015
4.12.2015;49;86325,00000;93162,50000;0;2;1;0;5;6;0;1;9;78;811;7814;0,00000;11.12.2015
11.12.2015;50;86002,00000;93001,00000;5;5;1;0;7;8;0;0;12;80;777;7837;0,00000;18.12.2015
18.12.2015;51;87067,00000;93533,50000;0;8;3;2;9;3;0;0;11;70;799;7788;0,00000;23.12.2015
23.12.2015;52;60943,00000;80471,50000;3;8;5;9;8;4;0;2;4;57;539;5387;0,00000;1.1.2016
1.1.2016;53;74068,00000;87034,00000;6;1;2;0;4;8;0;0;4;75;661;6543;0,00000;8.1.2016
8.1.2016;1;70386,00000;85193,00000;1;6;2;0;7;1;0;1;7;67;625;6326;0,00000;15.1.2016
15.1.2016;2;80410,00000;90205,00000;2;6;0;0;6;5;0;0;6;66;746;7234;0,00000;22.1.2016
