ID;Datum;Tyzden;SumaVklady;SumaVyhry;SumaJackpot;Cislo1;Cislo2;Cislo3;Cislo4;Cislo5;Cislo6;Cislo7;DoplnkoveCislo;Pocet1;Vyhra1;Pocet2;Vyhra2;Pocet3;Vyhra3;Pocet4;Vyhra4;Pocet5;Vyhra5;Pocet6;Vyhra6;Pocet7;Vyhra7;Pocet8;Vyhra8;Pocet9;Vyhra9;Pocet10;Vyhra10;DatumNasled;SumaVyhryNasled;Suma1CenaNasled
1;7.5.2004;19;50138,75058;25069,37529;6572,26316;7;1;10;20;35;32;23;5;0;0,00000;0;0,00000;0;0,00000;1;1253,46876;14;89,52400;56;22,37270;125;14,00783;645;5,17825;766;5,17825;1098;5,17825;14.5.2004;66387,83775;331939,18874
2;14.5.2004;20;103093,67324;51546,83662;18052,31362;4;13;14;18;22;32;35;5;0;0,00000;0;0,00000;1;2061,87346;4;644,32716;13;198,23408;70;36,81206;177;20,38107;1068;6,73837;1140;6,73837;2290;5,14506;21.5.2004;66387,83775;361813,71573
3;21.5.2004;21;136721,76857;68360,88429;35917,81186;34;8;22;6;1;12;15;1;0;0,00000;0;0,00000;0;0,00000;2;1709,02211;17;201,05557;85;40,19784;201;23,80004;1146;7,73418;1531;7,13669;2896;5,41061;28.5.2004;406625,50621;345216,75629
4;28.5.2004;22;149395,20680;406636,79214;59281,58401;17;4;33;2;34;32;18;4;0;0,00000;0;0,00000;0;0,00000;0;0,00000;22;169,75370;67;55,73259;375;13,94145;1266;7,66780;2935;4,44799;3569;4,44799;4.6.2004;408285,20215;345216,75629
5;4.6.2004;23;134102,10449;398990,24099;76828,88535;33;24;13;28;9;22;16;2;0;0,00000;0;0,00000;0;0,00000;5;670,48397;26;128,92518;121;27,68373;415;11,28593;1551;5,60977;2326;4,58076;3714;4,14924;11.6.2004;66387,83775;404965,81026
6;11.6.2004;24;133877,71360;398878,04554;91716,39116;6;24;14;9;31;18;1;5;0;0,00000;0;0,00000;1;2677,55427;4;836,71911;24;139,44765;90;37,17719;269;17,39361;1349;6,47281;1636;6,47281;3208;4,77992;18.6.2004;66387,83775;414923,98593
7;18.6.2004;25;133679,87785;398779,12766;112596,42833;33;22;20;18;1;17;34;4;0;0,00000;0;0,00000;0;0,00000;0;0,00000;11;303,79075;62;53,87373;290;16,13224;1046;8,29848;2075;5,14506;3925;3,88369;25.6.2004;404965,81026;345083,98061
8;25.6.2004;26;123149,43902;393513,90825;126254,03306;29;10;28;20;24;32;12;2;0;0,00000;0;0,00000;2;1385,41459;2;1385,41459;22;139,91237;76;40,49658;278;15,50156;1081;7,40224;1784;5,51019;3688;3,81730;2.7.2004;395007,63460;342694,01846
9;2.7.2004;27;112337,51577;388107,94662;140941,04760;9;1;33;8;31;35;29;5;0;0,00000;0;0,00000;0;0,00000;1;2808,43789;13;216,02602;54;51,98168;228;17,22764;1077;6,77156;1584;5,64297;2313;5,57658;9.7.2004;398327,02649;345216,75629
10;9.7.2004;28;108848,17102;386363,27425;155696,67397;33;19;32;18;10;25;15;5;0;0,00000;0;0,00000;1;2176,95678;0;0,00000;6;453,52851;58;46,90301;212;17,95791;1057;6,67198;1425;6,10768;2162;5,77574;16.7.2004;398327,02649;345216,75629
