ID;Datum;Tyzden;C_1;C_2;C_3;C_4;C_5;C_6;P_1;P_2;P_3;P_4;P_5;P_6;P_7;P_8;P_9;P_10;P_11;P_12;VKLAD;NA_VYHRY;NASLED_ZREB
1;27.8.2016;34;0;1;3;7;9;7;0;0,00000;0;5000,00000;3;500,00000;20;50,00000;160;5,00000;1500;3,00000;8388,00000;24261,10000;30.8.2016
2;30.8.2016;35;7;7;1;3;2;3;0;0,00000;0;5000,00000;3;500,00000;13;50,00000;127;5,00000;1385;3,00000;7818,50000;23971,80000;3.9.2016
3;3.9.2016;35;9;2;6;9;7;3;0;0,00000;0;5000,00000;1;500,00000;17;50,00000;179;5,00000;1719;3,00000;9578,50000;24865,88000;6.9.2016
4;6.9.2016;36;4;9;6;2;6;0;0;0,00000;0;5000,00000;0;500,00000;19;50,00000;173;5,00000;1574;3,00000;9198,50000;24672,84000;10.9.2016
5;10.9.2016;36;1;0;8;8;0;2;0;0,00000;1;5000,00000;0;500,00000;21;50,00000;173;5,00000;1887;3,00000;10718,00000;25444,74000;13.9.2016
6;13.9.2016;37;0;0;9;7;6;5;0;0,00000;0;5000,00000;1;500,00000;22;50,00000;155;5,00000;1787;3,00000;9842,50000;24999,99000;17.9.2016
7;17.9.2016;37;7;9;5;0;7;3;0;0,00000;0;5000,00000;2;500,00000;15;50,00000;194;5,00000;1906;3,00000;10947,50000;25561,33000;20.9.2016
8;20.9.2016;38;2;1;4;0;2;6;0;0,00000;1;5000,00000;2;500,00000;19;50,00000;186;5,00000;1797;3,00000;10202,50000;25182,87000;24.9.2016
9;24.9.2016;38;7;4;7;4;8;0;0;0,00000;0;5000,00000;3;500,00000;15;50,00000;197;5,00000;2161;3,00000;12173,00000;26183,88000;27.9.2016
10;27.9.2016;39;4;9;4;1;5;0;0;0,00000;0;5000,00000;4;500,00000;20;50,00000;200;5,00000;1801;3,00000;10209,00000;25186,17000;1.10.2016
11;1.10.2016;39;4;8;1;4;7;1;0;0,00000;0;5000,00000;4;500,00000;17;50,00000;240;5,00000;2292;3,00000;12514,50000;26357,37000;4.10.2016
12;4.10.2016;40;5;3;1;0;5;6;0;0,00000;0;5000,00000;0;500,00000;17;50,00000;190;5,00000;1819;3,00000;10416,00000;25291,33000;8.10.2016
13;8.10.2016;40;2;1;1;3;3;6;1;20000,00000;1;5000,00000;6;500,00000;28;50,00000;250;5,00000;2400;3,00000;13177,50000;26694,17000;11.10.2016
14;11.10.2016;41;2;6;3;5;4;7;0;0,00000;0;5000,00000;1;500,00000;16;50,00000;203;5,00000;1943;3,00000;11116,00000;25646,93000;15.10.2016
15;15.10.2016;41;4;9;7;6;6;9;0;0,00000;0;5000,00000;4;500,00000;21;50,00000;255;5,00000;2523;3,00000;14395,00000;27312,66000;18.10.2016
16;18.10.2016;42;2;6;6;4;7;2;0;0,00000;0;5000,00000;0;500,00000;16;50,00000;219;5,00000;2139;3,00000;11730,00000;25958,84000;22.10.2016
17;22.10.2016;42;3;7;9;2;0;7;0;0,00000;0;500,00000;4;100,00000;22;10,00000;225;3,50000;2204;2,00000;12183,00000;26188,96000;25.10.2016
18;25.10.2016;43;0;0;5;6;1;2;0;0,00000;0;500,00000;1;100,00000;19;10,00000;178;3,50000;1930;2,00000;10782,00000;25477,26000;29.10.2016
19;29.10.2016;43;8;8;4;6;7;9;0;0,00000;0;500,00000;2;100,00000;21;10,00000;220;3,50000;2101;2,00000;12012,50000;26102,35000;1.11.2016
20;1.11.2016;44;3;2;1;6;3;9;0;0,00000;0;500,00000;3;100,00000;19;10,00000;190;3,50000;1609;2,00000;9165,00000;24655,82000;5.11.2016
21;5.11.2016;44;0;0;7;0;9;7;0;0,00000;0;500,00000;0;100,00000;19;10,00000;221;3,50000;2197;2,00000;12085,00000;26139,18000;8.11.2016
22;8.11.2016;45;0;5;0;9;7;9;0;0,00000;2;500,00000;3;100,00000;12;10,00000;189;3,50000;1911;2,00000;10710,00000;25440,68000;12.11.2016
23;12.11.2016;45;8;6;4;8;1;8;0;0,00000;0;500,00000;5;100,00000;26;10,00000;234;3,50000;2229;2,00000;12617,50000;26409,69000;15.11.2016
24;15.11.2016;46;6;2;6;2;0;9;0;0,00000;0;500,00000;2;100,00000;21;10,00000;181;3,50000;1955;2,00000;10971,00000;25573,27000;19.11.2016
25;19.11.2016;46;9;9;1;2;2;2;0;0,00000;1;500,00000;1;100,00000;21;10,00000;230;3,50000;2154;2,00000;12169,50000;26182,11000;22.11.2016
26;22.11.2016;47;2;6;0;8;0;0;0;0,00000;0;500,00000;2;100,00000;17;10,00000;201;3,50000;1885;2,00000;10875,50000;25524,75000;26.11.2016
27;26.11.2016;47;0;6;3;5;8;3;0;0,00000;0;500,00000;2;100,00000;25;10,00000;221;3,50000;2167;2,00000;11917,50000;26054,09000;29.11.2016
28;29.11.2016;48;9;5;6;5;9;7;0;0,00000;0;500,00000;1;100,00000;19;10,00000;171;3,50000;1860;2,00000;10291,50000;25228,08000;3.12.2016
29;3.12.2016;48;3;4;6;3;5;5;0;0,00000;0;500,00000;2;100,00000;17;10,00000;231;3,50000;2065;2,00000;11774,50000;25981,45000;6.12.2016
30;6.12.2016;49;1;2;5;8;8;4;0;0,00000;0;500,00000;0;100,00000;17;10,00000;192;3,50000;1963;2,00000;10545,50000;25357,11000;10.12.2016
31;10.12.2016;49;9;5;7;3;9;8;0;0,00000;0;500,00000;1;100,00000;28;10,00000;224;3,50000;2255;2,00000;12328,50000;26262,88000;13.12.2016
32;13.12.2016;50;7;7;2;3;4;5;0;0,00000;0;500,00000;2;100,00000;20;10,00000;188;3,50000;1986;2,00000;11123,50000;25650,74000;17.12.2016
33;17.12.2016;50;1;8;9;2;4;9;0;0,00000;0;500,00000;2;100,00000;29;10,00000;227;3,50000;2357;2,00000;12958,00000;26582,66000;20.12.2016
34;20.12.2016;51;4;3;3;7;0;6;0;0,00000;1;500,00000;3;100,00000;26;10,00000;178;3,50000;2130;2,00000;11539,50000;25862,07000;23.12.2016
35;23.12.2016;51;2;2;0;7;3;9;0;0,00000;0;500,00000;1;100,00000;15;10,00000;210;3,50000;2213;2,00000;12726,00000;26464,81000;27.12.2016
36;27.12.2016;52;9;8;7;5;3;9;0;0,00000;0;500,00000;1;100,00000;18;10,00000;167;3,50000;1706;2,00000;9672,00000;24913,38000;31.12.2016
37;31.12.2016;52;1;6;3;4;6;9;0;0,00000;1;500,00000;0;100,00000;22;10,00000;253;3,50000;2504;2,00000;14232,50000;27230,11000;3.1.2017
38;3.1.2017;1;5;0;6;1;4;2;0;0,00000;0;500,00000;4;100,00000;16;10,00000;177;3,50000;1959;2,00000;10569,00000;25369,05000;7.1.2017
39;7.1.2017;1;8;2;6;0;1;0;0;0,00000;1;500,00000;0;100,00000;21;10,00000;213;3,50000;2144;2,00000;11659,50000;25923,03000;10.1.2017
40;10.1.2017;2;4;3;2;3;6;2;0;0,00000;0;500,00000;1;100,00000;15;10,00000;182;3,50000;1938;2,00000;10785,50000;25479,03000;14.1.2017
41;14.1.2017;2;8;2;8;9;9;3;0;0,00000;0;500,00000;2;100,00000;18;10,00000;235;3,50000;2364;2,00000;13013,50000;26610,86000;17.1.2017
42;17.1.2017;3;1;9;8;8;0;2;0;0,00000;1;500,00000;2;100,00000;14;10,00000;179;3,50000;2037;2,00000;11099,50000;25638,55000;21.1.2017
43;21.1.2017;3;1;7;8;4;5;3;0;0,00000;0;500,00000;2;100,00000;25;10,00000;235;3,50000;2240;2,00000;12754,50000;26479,29000;24.1.2017
44;24.1.2017;4;4;9;8;0;7;9;0;0,00000;0;500,00000;2;100,00000;27;10,00000;186;3,50000;1930;2,00000;10860,00000;25516,88000;28.1.2017
45;28.1.2017;4;0;1;6;0;6;7;1;20000,00000;0;500,00000;0;100,00000;35;10,00000;245;3,50000;2216;2,00000;12400,00000;26299,20000;31.1.2017
46;31.1.2017;5;1;3;8;1;8;4;0;0,00000;1;500,00000;2;100,00000;20;10,00000;198;3,50000;1824;2,00000;10441,50000;25304,28000;4.2.2017
47;4.2.2017;5;2;3;6;0;0;4;0;0,00000;2;500,00000;2;100,00000;19;10,00000;205;3,50000;2227;2,00000;12271,50000;26233,92000;7.2.2017
48;7.2.2017;6;1;7;2;6;3;4;0;0,00000;0;500,00000;0;100,00000;15;10,00000;182;3,50000;1870;2,00000;10625,50000;25397,75000;11.2.2017
49;11.2.2017;6;8;7;4;2;1;7;0;0,00000;0;500,00000;0;100,00000;21;10,00000;224;3,50000;2282;2,00000;12769,00000;26486,65000;14.2.2017
50;14.2.2017;7;7;4;0;1;2;5;0;0,00000;0;500,00000;6;100,00000;14;10,00000;207;3,50000;2005;2,00000;11205,50000;25692,39000;18.2.2017
51;18.2.2017;7;6;7;1;6;7;4;0;0,00000;0;500,00000;0;100,00000;24;10,00000;252;3,50000;2306;2,00000;12875,50000;26540,75000;21.2.2017
52;21.2.2017;8;1;2;1;9;9;2;0;0,00000;0;500,00000;2;100,00000;15;10,00000;194;3,50000;2023;2,00000;11022,50000;25599,43000;25.2.2017
53;25.2.2017;8;7;5;2;7;1;1;0;0,00000;0;500,00000;3;100,00000;26;10,00000;224;3,50000;2304;2,00000;12606,50000;26404,10000;28.2.2017
54;28.2.2017;9;6;7;6;0;3;9;0;0,00000;0;500,00000;1;100,00000;15;10,00000;208;3,50000;1913;2,00000;10674,00000;25422,39000;4.3.2017
55;4.3.2017;9;5;4;5;1;9;8;0;0,00000;0;500,00000;1;100,00000;25;10,00000;228;3,50000;2219;2,00000;12252,00000;26224,02000;7.3.2017
56;7.3.2017;10;8;9;5;9;2;8;1;20000,00000;0;500,00000;2;100,00000;24;10,00000;216;3,50000;2019;2,00000;10976,50000;25576,06000;11.3.2017
57;11.3.2017;10;6;7;3;9;7;1;0;0,00000;0;500,00000;1;100,00000;36;10,00000;256;3,50000;2317;2,00000;13050,50000;26629,65000;14.3.2017
58;14.3.2017;11;7;7;8;7;5;3;0;0,00000;0;500,00000;1;100,00000;23;10,00000;203;3,50000;2039;2,00000;11451,50000;25817,36000;18.3.2017
59;18.3.2017;11;7;6;7;7;8;5;0;0,00000;1;500,00000;3;100,00000;25;10,00000;254;3,50000;2407;2,00000;13456,00000;26835,65000;21.3.2017
60;21.3.2017;12;6;0;1;1;7;9;0;0,00000;0;500,00000;4;100,00000;23;10,00000;206;3,50000;2074;2,00000;11433,50000;25808,22000;25.3.2017
61;25.3.2017;12;5;5;9;2;9;0;0;0,00000;0;500,00000;5;100,00000;29;10,00000;209;3,50000;2280;2,00000;12826,00000;26515,61000;28.3.2017
62;28.3.2017;13;3;4;7;9;6;4;0;0,00000;0;500,00000;0;100,00000;20;10,00000;185;3,50000;1971;2,00000;10704,00000;25437,63000;1.4.2017
63;1.4.2017;13;9;6;6;7;8;5;0;0,00000;0;500,00000;0;100,00000;33;10,00000;235;3,50000;2165;2,00000;12460,00000;26329,68000;4.4.2017
64;4.4.2017;14;4;8;4;5;7;6;0;0,00000;0;500,00000;2;100,00000;29;10,00000;213;3,50000;1992;2,00000;10921,50000;25548,12000;8.4.2017
65;8.4.2017;14;1;8;1;2;0;5;0;0,00000;0;500,00000;3;100,00000;25;10,00000;217;3,50000;2455;2,00000;13267,00000;26739,64000;11.4.2017
66;11.4.2017;15;2;5;7;4;9;5;0;0,00000;0;500,00000;1;100,00000;14;10,00000;227;3,50000;2045;2,00000;11592,50000;25888,99000;15.4.2017
67;15.4.2017;15;0;2;1;1;4;1;0;0,00000;0;500,00000;2;100,00000;26;10,00000;242;3,50000;2510;2,00000;13646,00000;26932,17000;18.4.2017
68;18.4.2017;16;9;9;7;2;1;4;0;0,00000;0;500,00000;1;100,00000;14;10,00000;193;3,50000;1864;2,00000;10183,00000;25172,96000;22.4.2017
69;22.4.2017;16;4;8;3;3;1;4;0;0,00000;0;500,00000;2;100,00000;23;10,00000;235;3,50000;2536;2,00000;13884,00000;27053,07000;25.4.2017
70;25.4.2017;17;4;2;6;9;4;0;0;0,00000;0;500,00000;3;100,00000;22;10,00000;207;3,50000;1990;2,00000;11556,00000;25870,45000;29.4.2017
71;29.4.2017;17;8;8;0;1;6;9;0;0,00000;0;500,00000;2;100,00000;23;10,00000;214;3,50000;2371;2,00000;13305,00000;26758,94000;2.5.2017
72;2.5.2017;18;8;0;6;8;0;5;0;0,00000;0;500,00000;1;100,00000;21;10,00000;170;3,50000;1865;2,00000;10234,50000;25199,13000;6.5.2017
73;6.5.2017;18;7;6;3;5;7;1;0;0,00000;0;500,00000;5;100,00000;25;10,00000;273;3,50000;2322;2,00000;13115,50000;26662,67000;9.5.2017
74;9.5.2017;19;2;8;6;5;5;0;0;0,00000;0;500,00000;0;100,00000;19;10,00000;193;3,50000;1853;2,00000;10416,50000;25291,58000;13.5.2017
75;13.5.2017;19;0;7;5;2;3;3;0;0,00000;1;500,00000;2;100,00000;21;10,00000;220;3,50000;2391;2,00000;13168,50000;26689,60000;16.5.2017
76;16.5.2017;20;7;5;9;0;2;7;0;0,00000;0;500,00000;5;100,00000;19;10,00000;222;3,50000;2003;2,00000;11268,00000;25724,14000;20.5.2017
77;20.5.2017;20;9;9;1;2;2;0;0;0,00000;0;500,00000;1;100,00000;27;10,00000;228;3,50000;2247;2,00000;12919,00000;26562,85000;23.5.2017
78;23.5.2017;21;7;3;7;1;4;3;0;0,00000;0;500,00000;1;100,00000;19;10,00000;198;3,50000;2067;2,00000;11436,50000;25809,74000;27.5.2017
79;27.5.2017;21;4;9;7;7;3;3;0;0,00000;0;500,00000;1;100,00000;20;10,00000;235;3,50000;2430;2,00000;13214,50000;26712,97000;30.5.2017
80;30.5.2017;22;2;3;5;6;7;9;0;0,00000;0;500,00000;0;100,00000;24;10,00000;184;3,50000;1853;2,00000;10839,00000;25506,21000;3.6.2017
81;3.6.2017;22;8;8;4;2;9;5;0;0,00000;0;500,00000;2;100,00000;25;10,00000;226;3,50000;2186;2,00000;12765,00000;26484,62000;6.6.2017
82;6.6.2017;23;9;0;7;2;3;9;0;0,00000;0;500,00000;0;100,00000;19;10,00000;220;3,50000;1942;2,00000;11195,00000;25687,06000;10.6.2017
83;10.6.2017;23;2;7;1;6;4;6;0;0,00000;0;500,00000;1;100,00000;11;10,00000;223;3,50000;2381;2,00000;13184,50000;26697,73000;13.6.2017
84;13.6.2017;24;3;7;1;7;3;3;0;0,00000;0;500,00000;2;100,00000;24;10,00000;195;3,50000;1993;2,00000;11315,00000;25748,02000;17.6.2017
85;17.6.2017;24;4;5;9;1;0;8;0;0,00000;0;500,00000;2;100,00000;22;10,00000;240;3,50000;2552;2,00000;13396,50000;26805,42000;20.6.2017
86;20.6.2017;25;7;9;9;9;9;2;0;0,00000;0;500,00000;3;100,00000;15;10,00000;180;3,50000;2114;2,00000;11326,50000;25753,86000;24.6.2017
87;24.6.2017;25;3;9;6;5;5;6;1;20000,00000;0;500,00000;0;100,00000;28;10,00000;224;3,50000;2386;2,00000;12941,00000;26574,03000;27.6.2017
88;27.6.2017;26;0;1;1;4;6;6;0;0,00000;0;500,00000;3;100,00000;24;10,00000;217;3,50000;1959;2,00000;10965,00000;25570,22000;1.7.2017
89;1.7.2017;26;6;8;5;7;1;2;0;0,00000;0;500,00000;3;100,00000;20;10,00000;248;3,50000;2301;2,00000;12726,50000;26465,06000;4.7.2017
90;4.7.2017;27;9;8;9;5;1;1;0;0,00000;1;500,00000;4;100,00000;26;10,00000;202;3,50000;2101;2,00000;11202,50000;25690,87000;8.7.2017
91;8.7.2017;27;2;4;4;5;5;7;0;0,00000;0;500,00000;4;100,00000;23;10,00000;222;3,50000;2337;2,00000;12542,00000;26371,34000;11.7.2017
92;11.7.2017;28;3;7;8;2;7;6;0;0,00000;1;500,00000;4;100,00000;21;10,00000;203;3,50000;2127;2,00000;11225,00000;25702,30000;15.7.2017
93;15.7.2017;28;9;5;3;2;6;3;0;0,00000;0;500,00000;1;100,00000;22;10,00000;211;3,50000;2425;2,00000;13245,50000;26728,71000;18.7.2017
94;18.7.2017;29;9;9;0;6;9;0;0;0,00000;1;500,00000;3;100,00000;25;10,00000;203;3,50000;2058;2,00000;11447,50000;25815,33000;22.7.2017
95;22.7.2017;29;0;9;2;1;2;4;0;0,00000;0;500,00000;2;100,00000;32;10,00000;267;3,50000;2259;2,00000;12672,00000;26437,38000;25.7.2017
96;25.7.2017;30;2;2;9;4;7;0;1;20000,00000;0;500,00000;0;100,00000;17;10,00000;178;3,50000;1908;2,00000;11211,00000;25695,19000;29.7.2017
97;29.7.2017;30;0;9;2;9;8;4;0;0,00000;0;500,00000;3;100,00000;21;10,00000;245;3,50000;2433;2,00000;12797,50000;26501,13000;1.8.2017
98;1.8.2017;31;8;4;6;3;7;1;0;0,00000;0;500,00000;4;100,00000;17;10,00000;170;3,50000;1944;2,00000;10846,50000;25510,02000;5.8.2017
99;5.8.2017;31;9;0;6;9;6;0;0;0,00000;0;500,00000;4;100,00000;23;10,00000;224;3,50000;2266;2,00000;12620,00000;26410,96000;8.8.2017
100;8.8.2017;32;1;8;0;8;8;3;0;0,00000;1;500,00000;2;100,00000;23;10,00000;215;3,50000;2037;2,00000;11472,50000;25828,03000;12.8.2017
101;12.8.2017;32;6;3;9;4;1;4;1;20000,00000;0;500,00000;1;100,00000;22;10,00000;220;3,50000;2375;2,00000;13071,00000;26640,07000;15.8.2017
102;15.8.2017;33;3;8;0;7;6;4;0;0,00000;0;500,00000;0;100,00000;17;10,00000;219;3,50000;2100;2,00000;11926,50000;26058,66000;19.8.2017
103;19.8.2017;33;0;4;7;2;2;7;0;0,00000;0;500,00000;5;100,00000;23;10,00000;250;3,50000;2420;2,00000;13445,00000;26830,06000;22.8.2017
104;22.8.2017;34;8;3;5;2;4;2;0;0,00000;1;500,00000;1;100,00000;24;10,00000;225;3,50000;2016;2,00000;11808,00000;25998,46000;26.8.2017
105;26.8.2017;34;6;8;0;4;3;5;0;0,00000;0;500,00000;4;100,00000;23;10,00000;275;3,50000;2468;2,00000;13477,50000;26846,57000;29.8.2017
106;29.8.2017;35;6;8;2;9;2;0;0;0,00000;0;500,00000;0;100,00000;18;10,00000;163;3,50000;1585;2,00000;9215,00000;24681,22000;2.9.2017
107;2.9.2017;35;8;9;5;4;0;8;0;0,00000;0;500,00000;2;100,00000;30;10,00000;222;3,50000;2222;2,00000;12400,50000;26299,45000;5.9.2017
108;5.9.2017;36;6;5;6;7;2;2;0;0,00000;0;500,00000;0;100,00000;19;10,00000;223;3,50000;2062;2,00000;11443,00000;25813,04000;9.9.2017
109;9.9.2017;36;9;6;2;5;9;6;0;0,00000;0;500,00000;1;100,00000;18;10,00000;259;3,50000;2524;2,00000;14020,00000;27122,16000;12.9.2017
110;12.9.2017;37;9;8;5;5;6;5;0;0,00000;0;500,00000;5;100,00000;20;10,00000;230;3,50000;2252;2,00000;12239,00000;26217,41000;16.9.2017
