ID;Datum_Zreb;Tyzden;SumaVklady;SumaVyhry;Cislo1;Cislo2;Cislo3;Cislo4;Cislo5;Cislo6;DoplnkoveCislo;Pocet1;Vyhra1;Pocet2;Vyhra2;Pocet3;Vyhra3;Pocet4;Vyhra4;Pocet5;Vyhra5;Pocet6;Vyhra6;Pocet7;Vyhra7;Datum_ZrebNasled
1;25.3.2024;13;291993,00000;169063,95000;22;20;17;12;7;13;4;0;0,00000;0;0,00000;19;231,30000;55;116,80000;511;26,40000;1670;9,70000;13642;3,00000;1.4.2024;
2;1.4.2024;14;220719,00000;127796,30000;20;11;1;9;24;15;3;0;0,00000;0;0,00000;15;221,50000;51;95,20000;384;26,60000;1083;11,30000;9613;3,20000;8.4.2024;
3;8.4.2024;15;269502,00000;156041,66000;26;24;9;19;14;25;2;0;0,00000;1;24000,00000;17;238,60000;50;118,50000;447;27,90000;1270;11,70000;11669;3,20000;15.4.2024;
4;15.4.2024;16;296416,50000;171625,15000;7;16;25;27;20;21;1;0;0,00000;0;0,00000;18;247,90000;62;105,10000;492;27,90000;1645;10,00000;14184;2,90000;22.4.2024;
5;22.4.2024;17;339139,50000;196361,77000;4;21;18;7;13;25;2;2;480000,00000;2;24000,00000;46;110,90000;127;58,70000;778;20,10000;2197;8,50000;16048;2,90000;29.4.2024;
6;29.4.2024;18;428515,50000;248110,47000;18;24;3;27;7;11;2;1;480000,00000;3;16000,00000;43;150,00000;143;65,90000;930;21,30000;2765;8,60000;21611;2,70000;6.5.2024;
7;6.5.2024;19;430939,50000;249513,97000;7;20;14;13;2;10;3;0;0,00000;1;24000,00000;29;223,70000;84;112,80000;817;24,40000;2192;10,90000;18812;3,20000;13.5.2024;
8;13.5.2024;20;383196,00000;221870,48000;11;9;15;1;10;14;4;1;480000,00000;1;24000,00000;28;206,00000;49;172,00000;561;31,60000;1820;11,70000;16361;3,20000;20.5.2024;
9;20.5.2024;21;387801,00000;224536,78000;18;21;10;17;23;9;3;1;480000,00000;0;0,00000;20;291,80000;72;118,50000;688;26,10000;1874;11,50000;16407;3,30000;27.5.2024;
10;27.5.2024;22;360384,00000;208662,34000;17;5;3;25;26;16;1;3;320000,00000;0;0,00000;21;258,30000;51;155,40000;586;28,40000;1778;11,20000;16810;3,00000;3.6.2024;
11;3.6.2024;23;352824,00000;204285,10000;20;5;19;9;6;2;2;0;0,00000;1;24000,00000;22;241,40000;69;112,50000;667;24,50000;1754;11,10000;15043;3,20000;10.6.2024;
12;10.6.2024;24;342042,00000;198042,32000;14;8;27;7;25;9;2;0;0,00000;0;0,00000;15;343,20000;63;119,40000;542;29,20000;1855;10,20000;16311;2,90000;17.6.2024;
13;17.6.2024;25;340305,00000;197036,60000;19;23;8;25;3;16;3;0;0,00000;1;24000,00000;42;121,90000;77;97,20000;1097;14,30000;1996;9,40000;14869;3,20000;24.6.2024;
14;24.6.2024;26;320353,50000;185484,68000;4;11;8;14;1;26;2;1;480000,00000;0;0,00000;19;253,80000;77;91,50000;552;26,80000;1691;10,50000;14190;3,10000;1.7.2024;
15;1.7.2024;27;300190,50000;173810,30000;4;11;24;21;19;17;3;0;0,00000;1;24000,00000;33;136,90000;98;67,30000;623;22,30000;1820;9,10000;14012;3,00000;8.7.2024;
16;8.7.2024;28;287824,50000;166650,39000;2;4;6;1;12;18;3;0;0,00000;1;24000,00000;25;173,30000;49;129,20000;486;27,40000;1435;11,10000;12243;3,30000;15.7.2024;
17;15.7.2024;29;303901,50000;175958,97000;3;22;11;6;16;21;3;0;0,00000;0;0,00000;34;134,50000;74;90,30000;636;22,10000;1655;10,20000;13753;3,10000;22.7.2024;
18;22.7.2024;30;305451,00000;176856,13000;18;25;24;5;22;21;1;0;0,00000;0;0,00000;15;306,50000;52;129,20000;499;28,30000;1451;11,70000;13581;3,10000;29.7.2024;
19;29.7.2024;31;279786,00000;161996,09000;17;23;12;21;20;11;4;0;0,00000;1;24000,00000;18;233,90000;53;116,10000;449;28,80000;1362;11,40000;12894;3,00000;5.8.2024;
20;5.8.2024;32;295534,50000;171114,48000;6;5;4;24;22;12;1;1;480000,00000;0;0,00000;14;317,70000;68;95,60000;483;28,30000;1652;9,90000;13566;3,00000;12.8.2024;
21;12.8.2024;33;315463,50000;182653,37000;19;7;26;21;12;5;1;0;0,00000;0;0,00000;24;197,80000;81;85,60000;521;28,00000;1825;9,60000;15002;2,90000;19.8.2024;
22;19.8.2024;34;300786,00000;174155,09000;26;9;22;18;17;1;1;0;0,00000;0;0,00000;22;205,80000;48;137,80000;476;29,20000;1496;11,10000;13117;3,20000;26.8.2024;
23;26.8.2024;35;279616,50000;161897,95000;11;27;1;26;19;15;1;0;0,00000;0;0,00000;16;263,00000;53;116,00000;485;26,70000;1370;11,30000;12435;3,10000;2.9.2024;
24;2.9.2024;36;265578,00000;153769,66000;8;27;6;18;16;1;4;0;0,00000;2;12000,00000;10;399,80000;46;127,00000;397;30,90000;1283;11,50000;11682;3,10000;9.9.2024;
25;9.9.2024;37;270126,00000;156402,95000;13;2;9;12;1;27;3;0;0,00000;0;0,00000;20;203,30000;48;123,80000;498;25,10000;1471;10,20000;12056;3,10000;16.9.2024;
