ID;Datum;Tyzden;C_1;C_2;C_3;C_4;C_5;C_6;P_2;P_3;P_5;P_6;P_8;P_9;P_11;P_12;P_14;P_15;JACKPOT;VKLAD;NA_VYHRY;PREDP_SUMA_SPOLU;PREDP_SUMA_1;NASLED_ZREB
1;2.10.2002;40;5;8;4;1;3;4;0;0,00000;1;3319,39189;7;331,93919;46;33,19392;504;3,31939;13853,48204;19003,51856;22696,34203;26555,13510;16265,02025;6.10.2002
2;6.10.2002;40;3;9;3;5;9;6;0;0,00000;0;0,00000;5;331,93919;62;33,19392;645;3,31939;19709,38724;23429,26376;25568,11392;29874,52699;21576,04727;9.10.2002
3;9.10.2002;41;7;0;3;2;9;0;0;0,00000;0;0,00000;4;331,93919;50;33,19392;531;3,31939;25234,01713;20549,35936;29984,06692;36513,31076;27882,89185;13.10.2002
4;13.10.2002;41;1;7;4;2;0;8;0;0,00000;0;0,00000;9;331,93919;81;33,19392;697;3,31939;30102,40324;25716,32477;38092,17951;39832,70265;32198,10131;16.10.2002
5;16.10.2002;42;4;0;4;6;7;4;1;32195,94370;1;3319,39189;5;331,93919;71;33,19392;559;3,31939;0,00000;22569,87320;41387,33984;13277,56755;6638,78377;20.10.2002
6;20.10.2002;42;8;8;6;8;8;6;0;0,00000;2;3319,39189;9;331,93919;66;33,19392;711;3,31939;0,00000;27043,08571;13521,54285;13277,56755;6638,78377;23.10.2002
7;23.10.2002;43;1;3;2;4;0;9;0;0,00000;0;0,00000;3;331,93919;69;33,19392;612;3,31939;6519,45164;23674,23488;11837,11744;19916,35132;9294,29728;27.10.2002
8;27.10.2002;43;0;5;8;8;6;4;0;0,00000;0;0,00000;8;331,93919;80;33,19392;759;3,31939;12744,47321;28110,93408;20574,91867;26555,13510;15269,20268;30.10.2002
9;30.10.2002;44;9;9;0;7;9;4;0;0,00000;1;3319,39189;7;331,93919;50;33,19392;681;3,31939;15188,37549;24014,14061;24751,54352;29874,52699;17924,71619;3.11.2002
10;3.11.2002;44;9;7;6;8;1;7;0;0,00000;2;3319,39189;7;331,93919;68;33,19392;680;3,31939;14249,31952;25075,35020;27726,05059;26555,13510;16596,95944;6.11.2002
11;6.11.2002;45;8;9;5;1;6;5;0;0,00000;0;0,00000;4;331,93919;59;33,19392;545;3,31939;19925,31368;21542,52141;25020,58023;33193,91887;22571,86483;10.11.2002
12;10.11.2002;45;8;7;5;9;4;7;0;0,00000;3;3319,39189;5;331,93919;86;33,19392;678;3,31939;16399,28965;26394,14459;33122,38598;26555,13510;18256,65538;13.11.2002
13;13.11.2002;46;0;9;3;5;0;9;0;0,00000;0;0,00000;7;331,93919;62;33,19392;587;3,31939;21182,69933;22226,98002;27512,77966;33193,91887;23899,62159;17.11.2002
14;17.11.2002;46;7;5;4;0;7;4;0;0,00000;3;3319,39189;13;331,93919;67;33,19392;728;3,31939;15282,97816;26028,34761;34196,87313;26555,13510;17592,77700;20.11.2002
15;20.11.2002;47;1;0;4;2;9;8;0;0,00000;0;0,00000;2;331,93919;57;33,19392;600;3,31939;21940,35053;22409,87851;26487,91741;36513,31076;24563,49997;24.11.2002
16;24.11.2002;47;0;4;1;8;0;2;0;0,00000;0;0,00000;4;331,93919;64;33,19392;666;3,31939;29376,28626;26197,63659;35039,16882;39832,70265;31534,22293;27.11.2002
17;27.11.2002;48;4;9;3;8;2;3;0;0,00000;1;3319,39189;7;331,93919;66;33,19392;590;3,31939;30550,02324;21931,88608;40342,22930;43152,09454;33193,91887;1.12.2002
18;1.12.2002;48;2;4;3;7;0;1;0;0,00000;0;0,00000;9;331,93919;41;33,19392;636;3,31939;36086,10503;23991,23681;42545,64164;46471,48642;38504,94589;4.12.2002
19;4.12.2002;49;1;4;5;4;4;2;0;0,00000;0;0,00000;2;331,93919;57;33,19392;582;3,31939;41532,72920;19868,88402;46020,54704;53110,27020;44147,91210;8.12.2002
20;8.12.2002;49;7;3;4;2;0;7;0;0,00000;0;0,00000;3;331,93919;63;33,19392;614;3,31939;48077,24225;23339,30824;53202,38332;56429,66209;50122,81750;11.12.2002
21;11.12.2002;50;3;6;8;8;5;1;0;0,00000;0;0,00000;8;331,93919;62;33,19392;572;3,31939;51267,50979;19604,99237;57879,73843;63068,44586;53774,14858;15.12.2002
22;15.12.2002;50;1;5;0;3;7;2;0;0,00000;2;3319,39189;7;331,93919;52;33,19392;665;3,31939;50820,38770;24897,43079;63716,22519;59749,05397;52778,33101;18.12.2002
23;18.12.2002;51;7;9;7;8;1;6;0;0,00000;1;3319,39189;7;331,93919;62;33,19392;550;3,31939;51821,01839;21054,57080;61347,67311;66387,83775;54438,02695;22.12.2002
24;22.12.2002;51;2;2;2;6;7;1;0;0,00000;1;3319,39189;8;331,93919;80;33,19392;686;3,31939;53857,29934;25887,60539;64764,82108;66387,83775;56429,66209;29.12.2002
25;29.12.2002;52;5;9;6;8;4;7;0;0,00000;2;3319,39189;3;331,93919;74;33,19392;851;3,31939;55072,36274;28261,63447;67988,11658;69707,22964;57757,41884;5.1.2003
26;5.1.2003;1;7;5;6;0;8;8;0;0,00000;0;0,00000;6;331,93919;78;33,19392;822;3,31939;61980,51517;28434,90673;69289,81611;73026,62152;64064,26343;8.1.2003
27;8.1.2003;2;6;0;8;7;2;4;0;0,00000;0;0,00000;9;331,93919;53;33,19392;515;3,31939;65290,28082;19531,96574;71746,49804;76346,01341;67383,65531;12.1.2003
28;12.1.2003;2;0;4;7;0;0;9;1;71609,57313;0;0,00000;2;331,93919;83;33,19392;642;3,31939;0,00000;23738,63108;77159,59636;9958,17566;6638,78377;15.1.2003
29;15.1.2003;3;7;7;3;0;8;7;0;0,00000;1;3319,39189;9;331,93919;69;33,19392;564;3,31939;0,00000;20345,54870;10172,77435;13277,56755;6638,78377;19.1.2003
30;19.1.2003;3;1;3;5;3;7;7;1;6638,78377;1;3319,39189;6;331,93919;69;33,19392;639;3,31939;0,00000;24067,25088;12033,62544;13277,56755;6638,78377;22.1.2003
31;22.1.2003;4;0;6;1;8;9;1;0;0,00000;0;0,00000;11;331,93919;54;33,19392;521;3,31939;3104,79320;20555,99814;10277,99907;13277,56755;6638,78377;26.1.2003
32;26.1.2003;4;2;7;1;5;3;8;0;0,00000;2;3319,39189;2;331,93919;54;33,19392;642;3,31939;3905,76246;24054,30525;15131,94583;13277,56755;6638,78377;29.1.2003
33;29.1.2003;5;3;3;5;0;6;5;0;0,00000;0;0,00000;8;331,93919;66;33,19392;584;3,31939;7104,32849;19966,80608;13889,16550;19916,35132;9626,23647;2.2.2003
34;2.2.2003;5;2;9;0;5;8;6;0;0,00000;1;3319,39189;8;331,93919;75;33,19392;815;3,31939;10040,33061;28211,51165;21210,08431;23235,74321;12281,74998;5.2.2003
35;5.2.2003;6;0;2;8;4;5;1;0;0,00000;1;3319,39189;7;331,93919;56;33,19392;543;3,31939;11449,74441;21427,33851;20753,99987;23235,74321;13941,44593;9.2.2003
36;9.2.2003;6;5;0;8;6;0;1;0;0,00000;0;0,00000;6;331,93919;66;33,19392;706;3,31939;17661,82035;25476,00080;24187,74481;29874,52699;19916,35132;12.2.2003
37;12.2.2003;7;9;7;7;7;6;5;0;0,00000;0;0,00000;5;331,93919;54;33,19392;600;3,31939;23203,37914;21970,72296;28647,18184;36513,31076;25891,25672;16.2.2003
38;16.2.2003;7;4;8;9;1;0;5;0;0,00000;1;3319,39189;8;331,93919;91;33,19392;706;3,31939;25128,12853;26527,58415;36467,17121;36513,31076;27550,95267;19.2.2003
39;19.2.2003;8;3;7;6;2;9;8;0;0,00000;2;3319,39189;4;331,93919;61;33,19392;626;3,31939;24185,42123;22253,20321;36254,73013;36513,31076;26887,07429;23.2.2003
40;23.2.2003;8;0;2;2;4;0;5;0;0,00000;1;3319,39189;6;331,93919;61;33,19392;636;3,31939;27696,50800;25916,15216;37143,49731;39832,70265;29874,52699;26.2.2003
41;26.2.2003;9;6;1;9;9;7;8;0;0,00000;1;3319,39189;10;331,93919;61;33,19392;572;3,31939;27754,43139;21240,45675;38316,73637;39832,70265;30538,40536;2.3.2003
42;2.3.2003;9;8;9;4;7;5;7;0;0,00000;2;3319,39189;6;331,93919;77;33,19392;657;3,31939;26665,17294;24555,86537;40032,36407;39832,70265;28878,70942;5.3.2003
43;5.3.2003;10;5;5;0;4;3;2;0;0,00000;2;3319,39189;6;331,93919;61;33,19392;543;3,31939;24453,62810;20492,26582;36911,30585;36513,31076;27219,01348;9.3.2003
44;9.3.2003;10;3;8;5;1;2;3;0;0,00000;0;0,00000;6;331,93919;58;33,19392;684;3,31939;30682,79891;24833,03459;36870,14539;39832,70265;32861,97969;12.3.2003
45;12.3.2003;11;7;1;8;8;4;2;0;0,00000;1;3319,39189;10;331,93919;68;33,19392;586;3,31939;30639,48085;21595,63168;41480,61475;43152,09454;33193,91887;16.3.2003
46;16.3.2003;11;6;8;9;8;8;4;0;0,00000;1;3319,39189;8;331,93919;74;33,19392;688;3,31939;32928,53349;26008,09932;43643,53051;43152,09454;35185,55401;19.3.2003
47;19.3.2003;12;2;4;0;0;2;6;0;0,00000;0;0,00000;7;331,93919;61;33,19392;619;3,31939;37961,06353;22871,27398;44364,17048;49790,87831;40496,58103;23.3.2003
48;23.3.2003;12;4;7;0;8;0;7;0;0,00000;1;3319,39189;11;331,93919;82;33,19392;698;3,31939;39309,06858;26715,12979;51318,62843;49790,87831;41492,39859;26.3.2003
49;26.3.2003;13;8;9;5;8;3;0;0;0,00000;0;0,00000;11;331,93919;64;33,19392;619;3,31939;42672,77435;22388,30246;50503,21981;53110,27020;45143,72967;30.3.2003
50;30.3.2003;13;5;4;6;0;7;7;0;0,00000;0;0,00000;7;331,93919;55;33,19392;557;3,31939;47503,98327;21658,70013;53502,12441;56429,66209;49458,93912;2.4.2003
51;2.4.2003;14;5;7;7;3;5;8;0;0,00000;1;3319,39189;6;331,93919;51;33,19392;473;3,31939;47589,45761;17318,92717;56163,44686;56429,66209;49458,93912;6.4.2003
52;6.4.2003;14;5;1;5;2;3;6;0;0,00000;2;3319,39189;5;331,93919;63;33,19392;543;3,31939;45772,75443;20750,84644;57964,88083;56429,66209;47467,30399;9.4.2003
53;9.4.2003;15;8;8;8;2;8;5;0;0,00000;0;0,00000;5;331,93919;45;33,19392;488;3,31939;49835,52413;17672,11047;54608,80967;59749,05397;52114,45263;13.4.2003
54;13.4.2003;15;2;8;4;1;4;5;0;0,00000;0;0,00000;9;331,93919;54;33,19392;626;3,31939;53911,57140;21867,82182;60769,43504;63068,44586;55765,78371;16.4.2003
55;16.4.2003;16;0;5;8;7;4;4;0;0,00000;0;0,00000;5;331,93919;60;33,19392;491;3,31939;57665,96959;18071,10137;62947,12209;69707,22964;59749,05397;20.4.2003
56;20.4.2003;16;4;2;5;7;7;1;1;62749,12036;0;0,00000;4;331,93919;53;33,19392;574;3,31939;0,00000;20151,03233;67741,48576;9958,17566;6638,78377;23.4.2003
57;23.4.2003;17;9;0;6;6;4;6;0;0,00000;1;3319,39189;5;331,93919;45;33,19392;401;3,31939;133,60552;15874,99170;7937,49585;9958,17566;6638,78377;27.4.2003
