ID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;C_7;C_8;C_9;C_10;C_11;C_12;C_13;C_14;C_15;C_16;C_17;C_18;C_19;C_20
1;2.1.1999;1;2;6;12;19;20;25;26;27;28;29;40;47;50;56;57;63;71;74;75;79
2;4.1.1999;2;2;3;13;15;16;18;27;29;33;37;44;47;54;63;66;67;72;74;79;80
3;5.1.1999;2;4;5;17;21;24;29;30;34;40;45;52;64;66;68;69;70;72;73;76;80
4;6.1.1999;2;1;2;4;21;25;27;30;31;40;41;42;45;47;51;53;54;58;60;61;73
5;7.1.1999;2;3;14;23;28;32;33;34;37;39;40;45;46;52;60;62;63;73;74;75;78
6;8.1.1999;2;2;10;11;12;13;14;16;21;32;37;43;44;55;56;58;62;65;66;75;76
7;9.1.1999;2;1;9;10;11;12;15;18;31;34;39;46;47;49;52;58;64;66;73;77;79
8;11.1.1999;3;6;9;10;23;32;33;35;44;45;47;52;55;56;58;59;60;65;67;74;76
9;12.1.1999;3;6;10;11;13;15;16;22;24;25;35;40;43;51;55;57;63;66;69;71;72
10;13.1.1999;3;2;3;5;11;20;25;37;40;41;43;45;54;61;62;66;70;72;74;77;79
11;14.1.1999;3;4;9;12;14;15;33;35;37;41;43;47;55;56;57;62;67;71;74;75;77
12;15.1.1999;3;1;8;15;17;20;24;26;37;39;47;49;50;56;64;65;69;73;76;79;80
13;16.1.1999;3;8;17;25;26;27;28;32;39;40;41;42;45;49;54;58;62;67;68;71;78
14;18.1.1999;4;1;2;9;10;15;22;24;27;31;32;35;36;41;49;56;65;75;76;78;79
15;19.1.1999;4;1;4;5;8;10;11;12;16;28;38;45;46;47;60;67;71;74;76;77;79
16;20.1.1999;4;3;5;7;10;33;42;45;46;47;49;53;54;56;58;59;65;68;72;77;80
17;21.1.1999;4;3;5;6;9;14;21;22;26;28;33;37;41;42;45;52;54;58;60;64;69
18;22.1.1999;4;8;10;11;12;13;21;22;28;30;34;37;46;49;53;55;61;62;65;67;75
19;23.1.1999;4;4;6;9;21;31;35;39;41;44;59;60;63;65;67;69;71;72;76;79;80
20;25.1.1999;5;5;12;17;19;22;23;24;33;37;41;43;44;47;54;57;60;61;72;74;79
21;26.1.1999;5;5;13;14;19;20;22;24;25;30;31;33;34;47;49;50;51;58;70;72;79
22;27.1.1999;5;5;10;16;19;24;26;31;42;46;47;48;56;60;66;67;69;70;73;75;78
23;28.1.1999;5;2;5;7;10;12;14;19;20;22;23;24;26;28;29;31;32;41;49;52;80
24;29.1.1999;5;4;5;6;15;17;20;22;23;24;30;34;39;45;47;48;49;61;64;68;69
25;30.1.1999;5;1;10;15;19;22;24;28;33;35;36;45;47;50;54;55;56;67;68;71;76
26;1.2.1999;6;4;12;25;31;37;39;42;43;45;51;52;53;55;58;59;65;66;76;79;80
27;2.2.1999;6;1;7;8;9;12;14;16;22;24;42;44;47;48;53;63;70;72;76;78;80
28;3.2.1999;6;1;4;7;17;21;23;29;31;33;38;41;43;53;57;58;61;71;73;75;76
29;4.2.1999;6;9;11;13;16;18;22;24;25;29;35;36;37;42;48;61;70;74;75;76;80
30;5.2.1999;6;8;17;18;22;25;30;35;39;41;43;49;53;55;56;58;61;63;66;69;77
31;6.2.1999;6;2;3;4;6;16;21;28;36;42;43;45;52;53;54;61;63;64;74;78;80
32;8.2.1999;7;4;6;13;26;32;34;36;37;41;43;46;47;49;53;55;56;59;71;72;78
33;9.2.1999;7;3;6;8;9;11;12;17;20;22;35;36;38;52;53;55;61;71;74;76;80
34;10.2.1999;7;3;10;11;19;22;25;28;30;32;38;45;52;57;58;62;66;67;68;74;75
35;11.2.1999;7;4;6;13;17;19;24;26;29;35;38;39;50;52;53;54;55;56;73;75;78
36;12.2.1999;7;1;2;7;11;22;23;36;38;40;47;49;57;59;61;62;73;75;77;79;80
37;13.2.1999;7;6;7;8;11;12;13;17;18;20;23;24;34;36;39;41;47;55;66;68;73
38;15.2.1999;8;3;12;18;20;21;22;25;27;33;34;39;40;41;43;57;58;67;71;74;79
39;16.2.1999;8;7;15;16;20;22;23;26;28;30;37;41;49;59;63;68;71;73;74;77;78
40;17.2.1999;8;5;10;14;16;17;29;32;34;39;43;44;49;53;54;55;58;68;75;76;78
41;18.2.1999;8;1;10;11;12;13;20;21;24;32;34;37;43;45;49;60;64;69;71;74;78
42;19.2.1999;8;3;4;7;8;13;18;20;25;26;29;31;39;42;45;46;48;54;72;73;74
43;20.2.1999;8;6;7;18;19;29;31;35;40;42;45;46;48;49;56;68;70;72;74;75;79
44;22.2.1999;9;1;4;14;18;22;23;26;32;34;36;40;48;55;60;61;65;68;69;76;78
45;23.2.1999;9;7;8;14;21;22;24;26;28;40;45;47;48;49;61;71;74;75;77;79;80
46;24.2.1999;9;8;12;13;18;22;24;27;29;30;31;35;40;43;46;57;58;63;66;79;80
47;25.2.1999;9;5;6;9;14;22;27;30;35;37;42;43;44;48;53;67;69;70;78;79;80
48;26.2.1999;9;1;4;15;25;29;34;37;38;42;46;50;51;52;55;56;57;58;59;69;74
