KENOID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;C_7;C_8;C_9;C_10;C_11;C_12;C_13;C_14;C_15;C_16;C_17;C_18;C_19;C_20
1;20.11.1995;47;6;14;23;24;26;28;29;34;37;47;49;52;54;59;61;73;75;77;78;79
2;21.11.1995;47;1;4;11;17;24;26;28;33;35;36;54;56;57;61;67;72;74;75;78;79
3;22.11.1995;47;4;5;12;19;24;26;27;31;38;40;43;44;46;51;52;63;67;72;74;77
4;23.11.1995;47;1;13;14;17;18;23;24;32;43;45;46;49;50;60;69;71;73;74;76;80
5;24.11.1995;47;3;5;8;12;13;15;16;18;22;24;49;54;62;63;65;68;72;73;75;78
6;25.11.1995;47;12;13;18;24;31;32;33;34;37;38;43;46;47;49;54;56;68;77;78;80
7;27.11.1995;48;3;4;7;12;14;17;19;29;30;35;38;44;48;55;57;58;62;64;67;68
8;28.11.1995;48;6;16;17;26;28;38;45;46;49;50;51;52;58;59;65;70;71;72;74;80
9;29.11.1995;48;6;7;23;24;28;29;33;34;35;39;42;45;46;55;56;62;64;68;69;80
10;30.11.1995;48;3;4;9;10;12;16;22;24;25;32;34;35;37;40;43;48;51;68;69;78
11;1.12.1995;48;2;6;10;11;19;21;24;25;30;31;32;37;46;52;53;54;63;64;75;80
12;2.12.1995;48;1;11;16;18;23;28;30;37;39;43;44;45;48;50;63;66;68;70;76;80
13;4.12.1995;49;2;8;13;19;20;25;26;30;33;34;36;48;58;60;63;67;70;73;76;78
14;5.12.1995;49;2;8;11;20;29;33;35;36;38;39;46;49;55;56;59;62;65;68;76;77
15;6.12.1995;49;3;10;11;13;18;21;23;24;26;27;28;30;32;39;43;53;60;63;69;71
16;7.12.1995;49;3;4;8;9;10;17;19;22;24;25;28;36;41;47;53;59;60;66;73;74
17;8.12.1995;49;9;12;21;26;30;33;34;37;41;44;53;55;56;57;64;67;68;69;71;73
18;9.12.1995;49;1;4;14;24;27;29;31;34;39;43;44;45;49;51;56;58;61;73;74;78
