ID;Datum;Tyzden;C_1;C_2;C_3;C_4;C_5;C_6;P_1;P_2;P_3;P_4;P_5;P_6;P_7;P_8;P_9;P_10;P_11;P_12;JACKPOT;VKLAD;NA_VYHRY
1;9.9.2014;37;4;5;8;7;1;3;0;0,00000;0;1200,00000;0;150,00000;6;30,00000;92;2,50000;859;0,50000;595,40000;2869,80000;1434,90000
2;10.9.2014;37;0;2;4;0;5;7;0;0,00000;0;1200,00000;1;150,00000;13;30,00000;115;2,50000;1088;0,50000;955,50000;3463,20000;2327,00000
3;11.9.2014;37;2;5;1;3;2;6;0;0,00000;0;1200,00000;1;150,00000;7;30,00000;122;2,50000;1225;0,50000;1686,50000;4017,00000;2964,00000
4;12.9.2014;37;8;3;8;8;5;1;0;0,00000;0;1200,00000;1;150,00000;13;30,00000;122;2,50000;1370;0,50000;2372,45000;4431,90000;3902,45000
5;13.9.2014;37;9;4;9;6;2;1;0;0,00000;0;1200,00000;3;150,00000;8;30,00000;131;2,50000;1327;0,50000;2837,50000;4292,10000;4518,50000
6;14.9.2014;37;2;7;1;4;4;1;0;0,00000;1;1200,00000;0;150,00000;12;30,00000;131;2,50000;1286;0,50000;2432,05000;4250,10000;4962,55000
7;15.9.2014;38;9;6;8;1;1;0;0;0,00000;0;1200,00000;1;150,00000;10;30,00000;112;2,50000;1119;0,50000;2979,30000;3673,50000;4268,80000
8;16.9.2014;38;1;3;7;1;4;1;0;0,00000;1;1200,00000;2;150,00000;18;30,00000;149;2,50000;1346;0,50000;2087,40000;4387,20000;5172,90000
9;17.9.2014;38;8;6;2;1;2;6;0;0,00000;0;1200,00000;0;150,00000;19;30,00000;157;2,50000;1481;0,50000;2720,65000;4672,50000;4423,65000
10;18.9.2014;38;8;8;2;4;3;0;0;0,00000;0;1200,00000;4;150,00000;15;30,00000;129;2,50000;1434;0,50000;3102,25000;4942,20000;5191,75000
11;19.9.2014;38;9;0;3;0;8;6;0;0,00000;0;1200,00000;1;150,00000;19;30,00000;160;2,50000;1525;0,50000;3724,60000;5009,70000;5607,10000
12;20.9.2014;38;2;9;8;3;8;5;0;0,00000;0;1200,00000;2;150,00000;19;30,00000;142;2,50000;1460;0,50000;4149,20000;4759,20000;6104,20000
13;21.9.2014;38;7;8;0;3;5;3;0;0,00000;1;1200,00000;2;150,00000;13;30,00000;156;2,50000;1406;0,50000;3443,95000;4555,50000;6426,95000
14;22.9.2014;39;3;4;2;2;3;4;1;6600,00000;0;1200,00000;0;150,00000;19;30,00000;144;2,50000;1366;0,50000;0,00000;4756,50000;5822,20000
15;23.9.2014;39;4;7;6;5;7;8;0;0,00000;0;1200,00000;0;150,00000;17;30,00000;138;2,50000;1490;0,50000;801,50000;4803,00000;2401,50000
16;24.9.2014;39;3;7;7;1;8;7;0;0,00000;0;1200,00000;0;150,00000;13;30,00000;165;2,50000;1498;0,50000;1678,05000;4856,10000;3229,55000
17;25.9.2014;39;3;1;8;2;2;5;0;0,00000;0;1200,00000;1;150,00000;13;30,00000;171;2,50000;1396;0,50000;2430,10000;4835,10000;4095,60000
18;26.9.2014;39;5;0;5;6;6;7;0;0,00000;0;1200,00000;3;150,00000;9;30,00000;152;2,50000;1417;0,50000;3082,65000;4922,10000;4891,15000
19;27.9.2014;39;4;1;8;4;8;7;0;0,00000;0;1200,00000;1;150,00000;13;30,00000;153;2,50000;1325;0,50000;3786,50000;4577,70000;5371,50000
20;28.9.2014;39;2;6;8;3;7;2;0;0,00000;0;1200,00000;2;150,00000;13;30,00000;123;2,50000;1308;0,50000;4322,30000;4374,60000;5973,80000
