ID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;DODAT;E_1;E_2;E_3;E_4;E_5;E_6;E_7;E_8;E_9;E_10;E_11;E_12;E_13;E_14;JACKPOT1;VKLAD1;NA_VYHRY1;PREDP_SUMA1;SUMA_VYHRY1;NASLED_ZREB
1;2.10.2002;40;2;33;42;31;23;26;1;0;0,00000;0;0,00000;8;689,73644;533;14,93726;10759;2,25719;;;;;450698,36686;245245,56861;488462,88920;534422,09387;477992,43179;6.10.2002
2;6.10.2002;40;2;33;5;44;10;42;20;0;0,00000;0;0,00000;14;492,69734;816;12,18217;15793;1,92525;;;;;480100,71035;306584,74407;527344,55288;547699,66142;501228,17500;9.10.2002
3;9.10.2002;41;27;39;4;48;42;47;29;0;0,00000;0;0,00000;10;579,63221;592;14,14061;10512;2,42316;;;;;504864,73478;257615,21609;544504,51437;584212,97218;531102,70198;13.10.2002
4;13.10.2002;41;34;5;37;9;23;14;31;0;0,00000;0;0,00000;28;331,93919;1000;10,75483;17771;1,85886;;;;;534740,09162;331833,10098;587823,01002;600809,93162;554338,44520;16.10.2002
5;16.10.2002;42;24;1;42;14;44;2;35;0;0,00000;0;0,00000;7;905,03220;681;13,41034;12370;2,25719;;;;;561742,48158;281565,82354;605131,54750;643962,02616;587532,36407;20.10.2002
6;20.10.2002;42;2;1;9;8;15;33;11;0;0,00000;0;0,00000;39;331,93919;1491;7,56821;22538;1,52692;;;;;590101,40742;348009,95818;648744,97112;663878,37748;614087,49917;23.10.2002
7;23.10.2002;43;1;18;24;21;16;41;44;0;0,00000;0;0,00000;15;439,58707;696;13,67589;12027;2,42316;;;;;618113,85514;293071,89803;663369,38193;703711,08013;647281,41804;27.10.2002
8;27.10.2002;43;1;49;47;45;5;39;16;0;0,00000;0;0,00000;12;668,59191;819;14,14061;14949;2,35677;;;;;652424,35106;356584,34575;707259,94158;726946,82334;677155,94503;30.10.2002
9;30.10.2002;44;14;36;47;7;40;2;49;0;0,00000;0;0,00000;13;510,65525;730;13,11160;13356;2,19080;;;;;680718,05085;295055,96495;726188,34230;766779,52599;707030,47202;3.11.2002
10;3.11.2002;44;7;34;49;38;2;12;40;0;0,00000;0;0,00000;11;633,57233;657;15,30240;13621;2,25719;;;;;710388,80037;309755,42721;758156,90765;780057,09354;733585,60712;6.11.2002
11;6.11.2002;45;35;32;14;17;22;43;25;0;0,00000;0;0,00000;21;331,93919;704;12,04939;11987;2,15760;;;;;734366,95877;261179,44633;775683,66195;809931,62053;756821,35033;10.11.2002
12;10.11.2002;45;23;43;41;10;38;2;8;0;0,00000;3;1630,95001;16;458,70676;831;12,74646;14033;2,32357;;;;;760484,66441;326195,57857;815915,85342;826528,57996;783376,48543;13.11.2002
13;13.11.2002;46;20;36;30;41;21;44;11;0;0,00000;1;4353,58162;11;593,64005;356;26,48875;8808;3,28620;;;;;783785,96561;290238,99622;833044,41346;866361,28261;809931,62053;17.11.2002
14;17.11.2002;46;27;48;20;32;30;37;1;0;0,00000;0;0,00000;14;564,92731;598;19,08650;12482;2,78829;;;;;817538,93647;351516,43099;871665,07336;892916,41771;839806,14751;20.11.2002
15;20.11.2002;47;21;42;32;48;12;25;7;0;0,00000;0;0,00000;9;736,97139;553;17,29403;11626;2,52274;;;;;845712,80621;294798,24736;891238,49831;932749,12036;873000,06639;24.11.2002
16;24.11.2002;47;44;39;33;2;18;6;47;0;0,00000;1;5354,11273;14;573,62411;980;11,81704;16793;2,12441;;;;;874307,44208;356941,64509;934948,21749;949346,07980;899555,20149;27.11.2002
17;27.11.2002;48;5;16;14;25;33;29;32;1;902215,66089;0;0,00000;16;411,13988;810;11,71745;13924;2,09122;;;;;99581,75662;292382,79227;947403,14014;179247,16192;126136,89172;1.12.2002
18;1.12.2002;48;8;15;9;12;40;32;24;0;0,00000;1;4900,11950;14;524,99502;908;11,68426;17343;1,85886;;;;;99581,75662;326676,75762;181250,94603;175927,77003;122817,49983;4.12.2002
19;4.12.2002;49;47;22;8;32;41;19;26;0;0,00000;0;0,00000;16;367,02516;688;12,31494;12315;2,09122;;;;;99581,75662;261011,75065;164834,69428;179247,16192;126136,89172;8.12.2002
20;8.12.2002;49;9;40;2;17;49;8;35;0;0,00000;1;4772,82082;9;795,45907;786;13,14479;15343;2,05802;;;;;99581,75662;318188,40868;179128,85879;165969,59437;119498,10795;11.12.2002
21;11.12.2002;50;31;33;2;44;30;21;38;0;0,00000;0;0,00000;16;361,91330;785;10,65525;13120;1,95844;;;;;101927,86961;257377,41486;163926,11034;185885,94569;129456,28361;15.12.2002
22;15.12.2002;50;42;14;34;2;6;19;49;0;0,00000;0;0,00000;19;399,62159;973;11,25274;16149;2,05802;;;;;134521,37688;337480,97988;186298,11459;202482,90513;156011,41871;18.12.2002
23;18.12.2002;51;6;8;16;39;2;41;42;0;0,00000;0;0,00000;1;6185,55401;752;11,85023;12913;2,12441;;;;;160720,47401;274914,16053;203249,91702;248954,39156;189205,33758;22.12.2002
24;22.12.2002;51;14;13;23;38;47;39;3;0;0,00000;0;0,00000;20;395,20680;767;14,87088;14919;2,32357;;;;;194575,48297;351322,04740;248550,98586;278828,91854;222399,25646;29.12.2002
25;29.12.2002;52;28;25;16;13;14;42;5;0;0,00000;0;0,00000;13;655,84545;841;14,63852;16560;2,25719;;;;;231092,90978;378933,67855;289308,90261;325300,40497;262231,95911;5.1.2003
26;5.1.2003;1;27;47;9;42;35;15;14;0;0,00000;0;0,00000;18;481,61057;1032;12,11578;17305;2,22399;;;;;267761,36892;385308,50428;327420,03585;338577,97252;288787,09420;8.1.2003
27;8.1.2003;2;12;8;9;11;28;47;32;0;0,00000;0;0,00000;15;384,02045;691;12,01620;12670;1,99164;;;;;292470,92213;256028,28122;331768,43922;361813,71573;315342,22930;12.1.2003
28;12.1.2003;2;7;2;20;43;23;37;42;0;0,00000;0;0,00000;15;488,11658;991;10,65525;16351;1,95844;;;;;323921,56277;325416,84923;373825,13444;391688,24271;345216,75629;15.1.2003
