ID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;DODAT;E_1;E_2;E_3;E_4;E_5;E_6;E_7;E_8;E_9;E_10;E_11;E_12;E_13;E_14;JACKPOT2;VKLAD1;NA_VYHRY2;PREDP_SUMA2;SUMA_VYHRY2
1;2.10.2002;40;45;42;28;14;8;2;27;0;0,00000;0;0,00000;12;459,83536;688;11,58468;11816;2,05802;;;;;752300,73690;245245,56861;790106,61887;836486,75563;780057,09354
2;6.10.2002;40;26;33;16;39;47;23;42;0;0,00000;0;0,00000;15;459,86855;679;14,67171;13477;2,25719;;;;;781666,69986;306584,74407;828946,92292;846444,93129;803292,83675
3;9.10.2002;41;42;43;23;6;20;7;14;0;0,00000;0;0,00000;5;1159,26442;463;18,05749;10670;2,38996;;;;;806412,66680;257615,21609;846070,50388;886277,63394;833167,36374
4;13.10.2002;41;34;11;25;5;17;30;14;0;0,00000;1;4977,49452;35;213,30412;1337;8,06612;18932;1,72608;;;;;833465,17958;331833,10098;889370,94204;899555,20149;853083,71506
5;16.10.2002;42;12;19;25;29;31;38;23;0;0,00000;0;0,00000;12;527,91609;672;13,60951;13045;2,15760;;;;;860230,10025;281565,82354;903856,63546;942707,29602;886277,63394
6;20.10.2002;42;23;38;14;41;32;31;27;0;0,00000;2;2610,07103;15;522,00757;885;12,77966;15277;2,25719;;;;;888389,29828;348009,95818;947232,58979;962623,64735;912832,76904
7;23.10.2002;43;17;22;35;27;42;30;40;0;0,00000;0;0,00000;10;659,39720;692;13,74228;11461;2,55593;;;;;916260,10755;293071,89803;961657,27279;1002456,35000;942707,29602
8;27.10.2002;43;11;44;6;10;38;26;27;0;0,00000;1;5348,73531;14;573,05982;987;11,71745;17538;2,02483;;;;;944958,04289;356584,34575;1005406,19399;1019053,30943;969262,43112
9;30.10.2002;44;16;32;1;43;9;11;40;1;973489,70989;0;0,00000;19;349,39919;813;11,78384;15070;1,92525;;;;;99581,75662;295055,96495;1018722,03412;185885,94569;126136,89172
10;3.11.2002;44;23;26;37;2;11;33;42;0;0,00000;1;4646,31879;23;302,99409;1254;7,99973;17787;1,72608;;;;;99581,75662;309755,42721;177020,61342;169288,98626;122817,49983
11;6.11.2002;45;4;34;41;13;37;20;26;0;0,00000;2;1958,83954;9;652,92438;908;9,32749;12053;2,15760;;;;;99581,75662;261179,44633;164876,61820;175927,77003;122817,49983
12;10.11.2002;45;21;18;39;33;40;37;41;0;0,00000;0;0,00000;13;564,56217;775;13,67589;14767;2,19080;;;;;99581,75662;326195,57857;181130,65126;165969,59437;119498,10795
13;13.11.2002;46;47;44;21;35;25;8;32;0;0,00000;1;4353,58162;8;816,27166;693;13,60951;11922;2,42316;;;;;100731,02968;290238,99622;172141,50568;182566,55381;126136,89172
14;17.11.2002;46;44;14;30;18;2;36;11;0;0,00000;0;0,00000;10;790,91151;628;18,19027;13020;2,68871;;;;;134270,56363;351516,43099;188610,13742;209121,68891;159330,81060
15;20.11.2002;47;49;36;1;4;19;29;7;0;0,00000;1;4421,96110;18;368,48569;795;12,04939;12475;2,35677;;;;;157935,47102;294798,24736;207970,12547;245634,99967;185885,94569
16;24.11.2002;47;30;20;16;37;21;4;2;0;0,00000;1;5354,11273;18;446,15946;787;14,73810;14823;2,38996;;;;;186760,60546;356941,64509;247170,88229;262231,95911;209121,68891
17;27.11.2002;48;36;33;44;25;42;5;17;0;0,00000;1;4385,71334;2;3289,28500;580;16,36460;12026;2,42316;;;;;210259,67603;292382,79227;259856,30353;288787,09420;235676,82401
18;1.12.2002;48;5;38;36;43;45;48;32;0;0,00000;0;0,00000;7;1050,02324;410;25,89126;10011;3,25300;;;;;241397,46398;326676,75762;291928,86543;315342,22930;265551,35099
19;4.12.2002;49;37;11;16;45;38;26;49;0;0,00000;0;0,00000;8;734,08352;620;13,67589;10950;2,35677;;;;;266492,06665;261011,75065;306650,40165;345216,75629;292106,48609
20;8.12.2002;49;42;29;34;20;5;40;36;0;0,00000;1;4772,82082;20;357,93003;539;19,15289;11269;2,82148;;;;;291989,04601;318188,40868;346039,16882;358494,32384;312022,83742
21;11.12.2002;50;20;28;27;40;45;2;31;0;0,00000;0;0,00000;9;643,43092;611;13,67589;11152;2,29038;;;;;316644,22758;257377,41486;356333,39972;398327,02649;341897,36440
22;15.12.2002;50;15;2;21;16;12;34;17;0;0,00000;0;0,00000;7;1084,74407;770;14,24019;15436;2,15760;;;;;349151,53024;337480,97988;401014,47255;414923,98593;371771,89139
23;18.12.2002;51;37;29;39;23;42;20;41;0;0,00000;1;4123,68054;7;883,62212;439;20,34787;9634;2,82148;;;;;371456,15083;274914,16053;417880,07037;458076,08046;398327,02649
24;22.12.2002;51;23;8;6;27;24;41;2;0;0,00000;1;5269,80017;14;564,59537;833;13,67589;16740;2,09122;;;;;399713,53648;351322,04740;459286,66268;481311,82367;424882,16159
25;29.12.2002;52;20;39;30;25;47;10;45;0;0,00000;0;0,00000;24;355,24132;1479;8,29848;16653;2,25719;;;;;436058,78643;378933,67855;494446,95612;531102,70198;468034,25612
26;5.1.2003;1;12;5;31;7;45;26;11;0;0,00000;1;5779,62557;37;234,28268;1302;9,59304;21305;1,79247;;;;;467259,07854;385308,50428;532385,91250;537741,48576;491269,99934
