ID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;1_SUMA_VYH;1_POCET_VYH;2_SUMA_VYH;2_POCET_VYH;3_SUMA_VYH;3_POCET_VYH;JACKPOT;VKLAD;NA_VYHRY;PREDP_SUMA_SPOLU;PREDP_SUMA_1;NASLED_ZREB
1;6.10.2002;40;27;1;8;33;4;2389,36467;3;40,29742;59;3,31939;2131;0,06639;23659,29762;16619,33214;11617,87161;2323,57432;13.10.2002
2;13.10.2002;41;14;23;13;19;16;0,00000;0;68,08073;47;3,31939;1563;3200,64064;23177,15595;11588,64436;14937,26349;5642,96621;20.10.2002
3;20.10.2002;42;1;33;5;11;19;0,00000;0;18,52221;120;3,31939;2521;5427,20574;25634,83370;16018,05749;18588,59457;7966,54053;27.10.2002
4;27.10.2002;43;10;30;21;31;26;0,00000;0;42,62099;77;3,31939;2011;8713,05517;26485,92578;18670,16863;21907,98646;11285,93242;3.11.2002
5;3.11.2002;44;34;9;27;18;30;0,00000;0;40,49658;83;3,31939;1885;12075,51617;25961,46186;21693,78610;25227,37834;14605,32430;10.11.2002
6;10.11.2002;45;20;4;9;25;17;15315,20945;1;33,72502;96;3,31939;2574;0,00000;30042,82016;27096,92624;11617,87161;2323,57432;17.11.2002
7;17.11.2002;46;34;17;27;24;1;0,00000;0;50,48795;64;3,31939;1815;3232,95492;24977,76007;12488,88004;16596,95944;5974,90540;24.11.2002
8;24.11.2002;47;4;2;34;13;6;6565,09327;1;49,72449;67;3,31939;2070;0,00000;27069,64084;16767,77534;11617,87161;2323,57432;1.12.2002
9;1.12.2002;48;7;15;12;24;31;0,00000;0;23,20255;100;3,31939;2359;2323,07641;24947,55361;12473,77680;15601,14187;4979,08783;8.12.2002
10;8.12.2002;49;33;7;21;10;23;0,00000;0;26,58833;90;3,31939;2483;4718,18363;26060,21377;15353,18330;17924,71619;7302,66215;15.12.2002
11;15.12.2002;50;8;6;29;26;22;0,00000;0;47,16856;73;3,31939;2261;8166,26834;28793,06911;19114,71818;23235,74321;11285,93242;22.12.2002
12;22.12.2002;51;10;25;5;29;7;0,00000;0;43,45084;75;3,31939;2839;11425,82819;31884,25280;24108,39474;27219,01348;14605,32430;29.12.2002
13;29.12.2002;52;34;15;19;6;23;0,00000;0;39,79951;93;3,31939;2475;15128,79241;31239,62690;27045,64164;30870,34455;18256,65538;5.1.2003
14;5.1.2003;1;1;27;7;28;20;19634,20301;1;47,36772;95;3,31939;2655;0,00000;35636,65936;32947,12209;13277,56755;2655,51351;12.1.2003
15;12.1.2003;2;23;10;13;22;30;3670,08564;1;96,56111;38;3,31939;1656;0,01660;25672,67477;12836,33738;13277,56755;2655,51351;19.1.2003
16;19.1.2003;3;16;6;11;1;32;0,00000;0;58,81962;60;3,31939;1799;3529,19405;26059,88183;13029,95751;16928,89863;6306,84459;26.1.2003
17;26.1.2003;4;2;30;9;7;22;0,00000;0;40,39700;78;3,31939;2433;6682,08524;28759,87519;17909,13165;21576,04727;9626,23647;2.2.2003
18;2.2.2003;5;24;27;28;33;17;3196,44161;3;21,97437;132;3,31939;2743;0,00000;29825,89790;21595,03419;14937,26349;2987,45270;9.2.2003
19;9.2.2003;6;26;17;8;4;7;0,00000;0;43,41765;59;3,31939;2349;2565,07668;25847,93866;12923,96933;15933,08106;5311,02702;16.2.2003
20;16.2.2003;7;5;32;29;14;24;0,00000;0;48,13118;74;3,31939;2044;6130,60147;27824,13862;16477,14599;20248,29051;8962,35810;23.2.2003
21;23.2.2003;8;27;1;28;34;19;0,00000;0;46,93620;82;3,31939;2416;9983,98393;31443,60353;21852,40324;25891,25672;13277,56755;2.3.2003
22;2.3.2003;9;8;24;28;30;5;0,00000;0;57,92339;78;3,31939;2185;14502,25719;32578,33765;26273,15276;31202,28374;17924,71619;9.3.2003
23;9.3.2003;10;15;4;29;18;11;19044,04833;1;44,94457;101;3,31939;2536;0,00000;34998,34030;32001,42734;13277,56755;2655,51351;16.3.2003
24;16.3.2003;11;18;33;15;31;8;3513,34396;1;56,66202;62;3,31939;1939;0,01660;26925,41326;13462,70663;14273,38512;2987,45270;23.3.2003
25;23.3.2003;12;23;31;12;26;8;0,00000;0;52,18084;70;3,31939;1942;3655,24796;27508,29848;13754,16584;17924,71619;6638,78377;30.3.2003
26;30.3.2003;13;31;27;24;21;15;0,00000;0;42,55460;71;3,31939;2244;6680,72429;26991,13722;17150,81657;20912,16889;9626,23647;6.4.2003
27;6.4.2003;14;23;16;24;12;26;0,00000;0;93,64005;43;3,31939;1918;10710,03452;28844,85162;21103,15010;25559,31753;13609,50674;13.4.2003
28;13.4.2003;15;30;19;7;23;29;0,00000;0;54,86955;78;3,31939;2472;14990,83848;33532,33088;27476,19996;31534,22293;18256,65538;20.4.2003
29;20.4.2003;16;13;19;26;28;10;6319,42508;3;35,41791;112;3,31939;2836;0,01660;34696,10967;32338,89331;13277,56755;2655,51351;27.4.2003
30;27.4.2003;17;15;27;30;7;24;0,00000;0;21,47647;114;3,31939;2447;2448,46644;26038,63772;13019,33546;16596,95944;5311,02702;4.5.2003
31;4.5.2003;18;26;8;10;3;14;0,00000;0;25,45974;86;3,31939;2410;4642,02018;24765,65093;14831,29191;17924,71619;7302,66215;11.5.2003
32;11.5.2003;19;13;3;12;33;9;6434,80714;1;13,97464;128;3,31939;2982;0,00000;26959,93494;18121,98765;13277,56755;2655,51351;18.5.2003
33;18.5.2003;20;8;13;12;10;3;0,00000;0;25,59251;86;3,31939;2468;2203,87705;25194,18443;12597,09221;15601,14187;4979,08783;25.5.2003
34;25.5.2003;21;23;30;27;2;34;0,00000;0;61,11000;57;3,31939;1854;5688,34230;26243,77614;15325,76512;18920,53376;8298,47972;1.6.2003
35;1.6.2003;22;6;27;35;17;11;0,00000;0;22,77103;99;3,31939;2692;7944,56616;26892,71725;19134,70092;22903,80402;10953,99323;8.6.2003
36;8.6.2003;23;20;25;13;21;29;0,00000;0;42,35544;74;3,31939;2347;11080,51185;28121,72210;22005,42721;25891,25672;13941,44593;15.6.2003
37;15.6.2003;24;23;9;28;17;18;0,00000;0;62,93567;61;3,31939;2387;14921,34701;31206,59895;26683,81133;30538,40536;17924,71619;22.6.2003
38;22.6.2003;25;1;16;27;13;15;0,00000;0;63,96468;67;3,31939;2680;19210,44945;34941,41273;32392,05338;37509,12833;22903,80402;29.6.2003
39;29.6.2003;26;30;35;5;18;29;0,00000;0;79,83137;65;3,31939;2671;24402,89119;38495,15369;38458,02629;42820,15535;28214,83104;6.7.2003
40;6.7.2003;27;23;9;6;12;34;0,00000;0;30,37244;145;3,31939;3641;28815,60778;41805,25128;45305,51683;50454,75669;33193,91887;13.7.2003
41;13.7.2003;28;7;18;4;3;35;0,00000;0;48,36354;118;3,31939;3744;34522,68804;47683,56237;52657,38897;59417,11478;39500,76346;20.7.2003
42;20.7.2003;29;23;22;19;6;30;41321,41672;1;61,20959;111;3,31939;3750;0,00000;52081,42468;60563,40039;21576,04727;4315,20945;27.7.2003
43;27.7.2003;30;23;2;7;5;29;2933,41300;1;39,10244;75;3,31939;2381;0,01660;27539,16882;13769,58441;14937,26349;2987,45270;3.8.2003
44;3.8.2003;31;24;27;13;32;3;1051,45057;2;19,81677;106;3,31939;2584;0,04979;25561,64111;12780,83715;13277,56755;2655,51351;10.8.2003
45;10.8.2003;32;26;3;31;6;28;0,00000;0;56,59563;59;3,31939;1884;3340,02191;25865,69740;12932,89849;16596,95944;5974,90540;17.8.2003
46;17.8.2003;33;7;33;19;6;1;0,00000;0;25,89126;105;3,31939;2711;6064,82772;28884,51836;17782,28109;20912,16889;8962,35810;24.8.2003
