ID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;DODAT;E_1;E_2;E_3;E_4;E_5;E_6;E_7;E_8;E_9;E_10;E_11;E_12;E_13;E_14;JACKPOT1;VKLAD1;NA_VYHRY1;PREDP_SUMA1;SUMA_VYHRY1;NASLED_ZREB
1;28.4.1957;16;13;40;33;24;42;45;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;5.5.1957
2;5.5.1957;17;45;33;37;15;22;21;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;12.5.1957
3;12.5.1957;18;49;18;19;48;23;2;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;19.5.1957
4;19.5.1957;19;47;1;24;23;20;40;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;26.5.1957
5;26.5.1957;20;29;40;4;14;30;5;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;2.6.1957
6;2.6.1957;21;40;48;15;14;2;34;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;9.6.1957
7;9.6.1957;22;29;37;20;1;26;39;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;16.6.1957
8;16.6.1957;23;36;24;40;31;4;42;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;23.6.1957
9;23.6.1957;24;29;36;43;46;4;17;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;30.6.1957
10;30.6.1957;25;37;3;4;42;8;47;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;7.7.1957
11;7.7.1957;26;33;35;37;8;28;13;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;14.7.1957
12;14.7.1957;27;39;11;28;1;14;26;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;21.7.1957
13;21.7.1957;28;18;25;3;43;14;4;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;28.7.1957
